date,count
"2024-05-31 10:44:21",69
"2024-05-31 10:49:22",72
"2024-05-31 10:54:23",73
"2024-05-31 10:59:24",78
"2024-05-31 11:04:25",83
"2024-05-31 11:09:29",81
"2024-05-31 11:14:30",76
"2024-05-31 11:19:31",78
"2024-05-31 11:24:32",73
"2024-05-31 11:29:33",74
"2024-05-31 11:34:34",67
"2024-05-31 11:39:38",67
"2024-05-31 11:44:39",62
"2024-05-31 11:49:41",59
"2024-05-31 11:54:42",60
"2024-05-31 11:59:43",59
"2024-05-31 12:04:45",57
"2024-05-31 12:09:48",53
"2024-05-31 12:14:49",54
"2024-05-31 12:19:50",51
"2024-05-31 12:24:51",53
"2024-05-31 12:29:52",50
"2024-05-31 12:34:53",52
"2024-05-31 12:39:57",54
"2024-05-31 12:44:58",57
"2024-05-31 12:49:59",59
"2024-05-31 12:55:01",63
"2024-05-31 13:00:02",62
"2024-05-31 13:05:04",66
"2024-05-31 13:10:08",67
"2024-05-31 13:15:09",73
"2024-05-31 13:20:10",71
"2024-05-31 13:25:11",80
"2024-05-31 13:30:13",83
"2024-05-31 13:35:14",78
"2024-05-31 13:40:17",85
"2024-05-31 13:45:18",82
"2024-05-31 13:50:19",82
"2024-05-31 13:55:21",83
"2024-05-31 14:00:22",85
"2024-05-31 14:05:23",84
"2024-05-31 14:10:26",87
"2024-05-31 14:15:27",89
"2024-05-31 14:20:28",86
"2024-05-31 14:25:30",88
"2024-05-31 14:30:31",88
"2024-05-31 14:35:32",88
"2024-05-31 14:40:35",92
"2024-05-31 14:45:36",92
"2024-05-31 14:50:37",95
"2024-05-31 14:55:38",92
"2024-05-31 15:00:39",92
"2024-05-31 15:05:40",94
"2024-05-31 15:10:44",89
"2024-05-31 15:15:45",92
"2024-05-31 15:20:46",106
"2024-05-31 15:25:47",114
"2024-05-31 15:30:48",120
"2024-05-31 15:35:50",125
"2024-05-31 15:40:54",126
"2024-05-31 15:45:55",131
"2024-05-31 15:50:56",136
"2024-05-31 15:55:57",145
"2024-05-31 16:00:58",145
"2024-05-31 16:05:59",144
"2024-05-31 16:11:03",141
"2024-05-31 16:16:04",146
"2024-05-31 16:21:05",150
"2024-05-31 16:26:06",157
"2024-05-31 16:31:07",155
"2024-05-31 16:36:08",154
"2024-05-31 16:41:12",157
"2024-05-31 16:46:13",153
"2024-05-31 16:51:14",145
"2024-05-31 16:56:16",151
"2024-05-31 17:01:17",154
"2024-05-31 17:06:18",153
"2024-05-31 17:11:22",151
"2024-05-31 17:16:23",153
"2024-05-31 17:21:24",151
"2024-05-31 17:26:25",152
"2024-05-31 17:31:26",146
"2024-05-31 17:36:27",140
"2024-05-31 17:41:30",140
"2024-05-31 17:46:31",132
"2024-05-31 17:51:32",131
"2024-05-31 17:56:33",130
"2024-05-31 18:01:34",128
"2024-05-31 18:06:35",137
"2024-05-31 18:11:39",137
"2024-05-31 18:16:40",135
"2024-05-31 18:21:41",137
"2024-05-31 18:26:42",131
"2024-05-31 18:31:42",133
"2024-05-31 18:36:43",130
"2024-05-31 18:41:47",130
"2024-05-31 18:46:48",124
"2024-05-31 18:51:49",126
"2024-05-31 18:56:50",124
"2024-05-31 19:01:51",126
"2024-05-31 19:06:52",126
"2024-05-31 19:11:55",123
"2024-05-31 19:16:56",126
"2024-05-31 19:21:57",127
"2024-05-31 19:26:58",126
"2024-05-31 19:31:59",120
"2024-05-31 19:37:00",113
"2024-05-31 19:42:04",107
"2024-05-31 19:47:05",102
"2024-05-31 19:52:06",95
"2024-05-31 19:57:07",93
"2024-05-31 20:02:08",90
"2024-05-31 20:07:09",86
"2024-05-31 20:12:13",85
"2024-05-31 20:17:14",81
"2024-05-31 20:22:15",79
"2024-05-31 20:27:16",71
"2024-05-31 20:32:16",64
"2024-05-31 20:37:17",59
"2024-05-31 20:42:21",56
"2024-05-31 20:47:21",56
"2024-05-31 20:52:22",55
"2024-05-31 20:57:23",56
"2024-05-31 21:02:24",54
"2024-05-31 21:07:25",54
"2024-05-31 21:12:28",57
"2024-05-31 21:17:29",54
"2024-05-31 21:22:30",53
"2024-05-31 21:27:31",49
"2024-05-31 21:32:32",48
"2024-05-31 21:37:32",51
"2024-05-31 21:42:36",50
"2024-05-31 21:47:36",49
"2024-05-31 21:52:37",48
"2024-05-31 21:57:38",47
"2024-05-31 22:02:38",46
"2024-05-31 22:07:39",39
"2024-05-31 22:12:42",38
"2024-05-31 22:17:43",38
"2024-05-31 22:22:44",38
"2024-05-31 22:27:45",35
"2024-05-31 22:32:46",33
"2024-05-31 22:37:46",31
"2024-05-31 22:42:49",29
"2024-05-31 22:47:50",28
"2024-05-31 22:52:51",26
"2024-05-31 22:57:51",24
"2024-05-31 23:02:52",22
"2024-05-31 23:07:53",22
"2024-05-31 23:12:56",22
"2024-05-31 23:17:57",22
"2024-05-31 23:22:58",22
"2024-05-31 23:27:58",20
"2024-05-31 23:32:59",18
"2024-05-31 23:38:00",18
"2024-05-31 23:43:03",17
"2024-05-31 23:48:05",16
"2024-05-31 23:53:06",14
"2024-05-31 23:58:07",13
"2024-06-07 00:04:14",13
"2024-06-07 00:09:15",13
"2024-06-07 00:14:16",13
"2024-06-07 00:19:17",11
"2024-06-07 00:24:20",11
"2024-06-07 00:29:21",11
"2024-06-07 00:34:22",11
"2024-06-07 00:39:23",10
"2024-06-07 00:44:24",10
"2024-06-07 00:49:25",10
"2024-06-07 00:54:28",9
"2024-06-07 00:59:28",9
"2024-06-07 01:04:29",9
"2024-06-07 01:09:30",9
"2024-06-07 01:14:31",9
"2024-06-07 01:19:32",9
"2024-06-07 01:24:36",10
"2024-06-07 01:29:37",10
"2024-06-07 01:34:38",10
"2024-06-07 01:39:38",10
"2024-06-07 01:44:39",10
"2024-06-07 01:49:40",10
"2024-06-07 01:54:43",10
"2024-06-07 01:59:45",10
"2024-06-07 02:04:45",10
"2024-06-07 02:09:46",11
"2024-06-07 02:14:47",10
"2024-06-07 02:19:48",13
"2024-06-07 02:24:51",13
"2024-06-07 02:29:51",13
"2024-06-07 02:34:52",13
"2024-06-07 02:39:53",9
"2024-06-07 02:44:54",9
"2024-06-07 02:49:55",10
"2024-06-07 02:54:57",13
"2024-06-07 02:59:58",14
"2024-06-07 03:04:59",14
"2024-06-07 03:10:00",14
"2024-06-07 03:15:02",14
"2024-06-07 03:20:02",16
"2024-06-07 03:25:05",16
"2024-06-07 03:30:06",16
"2024-06-07 03:35:07",20
"2024-06-07 03:40:08",23
"2024-06-07 03:45:09",22
"2024-06-07 03:50:10",22
"2024-06-07 03:55:13",23
"2024-06-07 04:00:14",22
"2024-06-07 04:05:23",23
"2024-06-07 04:10:24",22
"2024-06-07 04:15:24",22
"2024-06-07 04:20:25",21
"2024-06-07 04:25:28",23
"2024-06-07 04:30:29",22
"2024-06-07 04:35:30",21
"2024-06-07 04:40:31",22
"2024-06-07 04:45:32",25
"2024-06-07 04:50:32",26
"2024-06-07 04:55:35",34
"2024-06-07 05:00:36",36
"2024-06-07 05:05:37",35
"2024-06-07 05:10:38",39
"2024-06-07 05:15:39",44
"2024-06-07 05:20:39",43
"2024-06-07 05:25:43",46
"2024-06-07 05:30:43",49
"2024-06-07 05:35:44",50
"2024-06-07 05:40:45",54
"2024-06-07 05:45:46",56
"2024-06-07 05:50:47",57
"2024-06-07 05:55:50",64
"2024-06-07 06:00:51",68
"2024-06-07 06:05:52",71
"2024-06-07 06:10:52",78
"2024-06-07 06:15:54",78
"2024-06-07 06:20:54",79
"2024-06-07 06:25:57",76
"2024-06-07 06:30:58",75
"2024-06-07 06:35:59",72
"2024-06-07 06:41:00",72
"2024-06-07 06:46:00",75
"2024-06-07 06:51:01",75
"2024-06-07 06:56:05",78
"2024-06-07 07:01:05",79
"2024-06-07 07:06:06",77
"2024-06-07 07:11:07",77
"2024-06-07 07:16:08",72
"2024-06-07 07:21:09",69
"2024-06-07 07:26:12",64
"2024-06-07 07:31:13",60
"2024-06-07 07:36:13",60
"2024-06-07 07:41:14",58
"2024-06-07 07:46:15",59
"2024-06-07 07:51:16",59
"2024-06-07 07:56:19",63
"2024-06-07 08:01:19",66
"2024-06-07 08:06:20",61
"2024-06-07 08:11:21",60
"2024-06-07 08:16:22",60
"2024-06-07 08:21:22",60
"2024-06-07 08:26:26",63
"2024-06-07 08:31:26",65
"2024-06-07 08:36:28",64
"2024-06-07 08:41:28",66
"2024-06-07 08:46:29",67
"2024-06-07 08:51:30",62
"2024-06-07 08:56:33",60
"2024-06-07 09:01:33",56
"2024-06-07 09:06:35",55
"2024-06-07 09:11:36",58
"2024-06-07 09:16:39",62
"2024-06-07 09:21:40",64
"2024-06-07 09:26:43",68
"2024-06-07 09:31:44",68
"2024-06-07 09:36:45",59
"2024-06-07 09:41:46",60
"2024-06-07 09:46:47",61
"2024-06-07 09:51:48",60
"2024-06-07 09:56:51",61
"2024-06-07 10:01:52",67
"2024-06-07 10:06:53",66
"2024-06-07 10:11:54",66
"2024-06-07 10:16:55",69
"2024-06-07 10:21:56",70
"2024-06-07 10:26:59",69
"2024-06-07 10:32:00",69
"2024-06-07 10:37:02",69
"2024-06-07 10:42:03",63
"2024-06-07 10:47:04",65
"2024-06-07 10:52:05",65
"2024-06-07 10:57:09",66
"2024-06-07 11:02:10",68
"2024-06-07 11:07:11",72
"2024-06-07 11:12:12",67
"2024-06-07 11:17:14",67
"2024-06-07 11:22:16",64
"2024-06-07 11:27:19",63
"2024-06-07 11:32:20",62
"2024-06-07 11:37:21",58
"2024-06-07 11:42:22",54
"2024-06-07 11:47:23",54
"2024-06-07 11:52:24",53
"2024-06-07 11:57:27",53
"2024-06-07 12:02:28",54
"2024-06-07 12:07:29",58
"2024-06-07 12:12:31",61
"2024-06-07 12:17:33",60
"2024-06-07 12:22:34",64
"2024-06-07 12:27:37",65
"2024-06-07 12:32:38",70
"2024-06-07 12:37:39",73
"2024-06-07 12:42:40",79
"2024-06-07 12:47:41",84
"2024-06-07 12:52:42",80
"2024-06-07 12:57:45",78
"2024-06-07 13:02:46",81
"2024-06-07 13:07:47",82
"2024-06-07 13:12:49",79
"2024-06-07 13:17:50",78
"2024-06-07 13:22:51",83
"2024-06-07 13:27:54",91
"2024-06-07 13:32:55",87
"2024-06-07 13:37:56",84
"2024-06-07 13:42:57",83
"2024-06-07 13:47:58",87
"2024-06-07 13:52:59",89
"2024-06-07 13:58:02",91
"2024-06-07 14:03:03",98
"2024-06-07 14:08:04",97
"2024-06-07 14:13:05",94
"2024-06-07 14:18:06",92
"2024-06-07 14:23:07",97
"2024-06-07 14:28:12",92
"2024-06-07 14:33:13",92
"2024-06-07 14:38:14",99
"2024-06-07 14:43:15",101
"2024-06-07 14:48:16",102
"2024-06-07 14:53:17",102
"2024-06-07 14:58:25",105
"2024-06-07 15:03:26",97
"2024-06-07 15:08:28",101
"2024-06-07 15:13:28",103
"2024-06-07 15:18:30",105
"2024-06-07 15:23:31",114
"2024-06-07 15:28:34",116
"2024-06-07 15:33:35",118
"2024-06-07 15:38:36",123
"2024-06-07 15:43:37",127
"2024-06-07 15:48:38",129
"2024-06-07 15:53:40",131
"2024-06-07 15:58:44",133
"2024-06-07 16:03:45",130
"2024-06-07 16:08:46",128
"2024-06-07 16:13:47",125
"2024-06-07 16:18:48",129
"2024-06-07 16:23:49",133
"2024-06-07 16:28:53",132
"2024-06-07 16:33:54",131
"2024-06-07 16:38:54",128
"2024-06-07 16:43:55",121
"2024-06-07 16:48:56",112
"2024-06-07 16:53:57",103
"2024-06-07 16:59:01",104
"2024-06-07 17:04:02",101
"2024-06-07 17:09:03",98
"2024-06-07 17:14:04",97
"2024-06-07 17:19:05",99
"2024-06-07 17:24:06",103
"2024-06-07 17:29:10",105
"2024-06-07 17:34:11",98
"2024-06-07 17:39:12",91
"2024-06-07 17:44:13",89
"2024-06-07 17:49:14",91
"2024-06-07 17:54:16",95
"2024-06-07 17:59:19",99
"2024-06-07 18:04:20",94
"2024-06-07 18:09:21",92
"2024-06-07 18:14:22",93
"2024-06-07 18:19:23",92
"2024-06-07 18:24:27",90
"2024-06-07 18:29:30",91
"2024-06-07 18:34:31",87
"2024-06-07 18:39:32",84
"2024-06-07 18:44:33",85
"2024-06-07 18:49:34",85
"2024-06-07 18:54:35",87
"2024-06-07 18:59:39",91
"2024-06-07 19:04:39",88
"2024-06-07 19:09:40",82
"2024-06-07 19:14:41",81
"2024-06-07 19:19:42",80
"2024-06-07 19:24:43",80
"2024-06-07 19:29:46",81
"2024-06-07 19:34:47",80
"2024-06-07 19:39:48",76
"2024-06-07 19:44:49",73
"2024-06-07 19:49:50",73
"2024-06-07 19:54:51",74
"2024-06-07 19:59:54",70
"2024-06-07 20:04:55",71
"2024-06-07 20:09:56",70
"2024-06-07 20:14:57",68
"2024-06-07 20:19:58",66
"2024-06-07 20:24:59",61
"2024-06-07 20:30:03",61
"2024-06-07 20:35:04",61
"2024-06-07 20:40:05",58
"2024-06-07 20:45:06",55
"2024-06-07 20:50:07",56
"2024-06-07 20:55:08",55
"2024-06-07 21:00:12",54
"2024-06-07 21:05:13",51
"2024-06-07 21:10:14",48
"2024-06-07 21:15:15",46
"2024-06-07 21:20:16",45
"2024-06-07 21:25:16",44
"2024-06-07 21:30:20",41
"2024-06-07 21:35:21",37
"2024-06-07 21:40:21",35
"2024-06-07 21:45:22",32
"2024-06-07 21:50:23",31
"2024-06-07 21:55:24",31
"2024-06-07 22:00:27",31
"2024-06-07 22:05:27",31
"2024-06-07 22:10:28",31
"2024-06-07 22:15:29",31
"2024-06-07 22:20:29",30
"2024-06-07 22:25:30",30
"2024-06-07 22:30:35",29
"2024-06-07 22:35:36",27
"2024-06-07 22:40:37",27
"2024-06-07 22:45:37",27
"2024-06-07 22:50:38",24
"2024-06-07 22:55:39",24
"2024-06-07 23:00:42",24
"2024-06-07 23:05:43",24
"2024-06-07 23:10:44",24
"2024-06-07 23:15:45",24
"2024-06-07 23:20:45",24
"2024-06-07 23:25:46",24
"2024-06-07 23:30:49",22
"2024-06-07 23:35:50",22
"2024-06-07 23:40:51",22
"2024-06-07 23:45:51",20
"2024-06-07 23:50:52",20
"2024-06-07 23:55:53",20
